time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi
2024-07-22 00:00:00,38.3,25.7,307.0,31.2,7.4,107.0,0.63,0.0,0.0,74
2024-07-22 01:00:00,38.3,25.5,302.0,30.9,7.4,96.0,0.61,0.0,0.0,74
2024-07-22 02:00:00,35.0,23.2,295.0,30.5,7.3,80.0,0.6,0.0,0.0,75
2024-07-22 03:00:00,32.6,21.5,288.0,29.8,7.2,66.0,0.59,0.0,0.0,75
2024-07-22 04:00:00,30.0,19.8,282.0,28.4,6.8,58.0,0.57,0.0,0.0,75
2024-07-22 05:00:00,27.7,18.6,276.0,26.8,6.3,52.0,0.56,0.0,0.0,74
2024-07-22 06:00:00,26.7,18.0,271.0,25.8,6.1,47.0,0.54,0.0,0.0,74
2024-07-22 07:00:00,25.7,17.5,266.0,26.2,6.3,43.0,0.54,0.0,0.0,74
2024-07-22 08:00:00,24.7,16.8,261.0,27.3,6.9,41.0,0.53,0.0,0.0,73
2024-07-22 09:00:00,24.2,16.6,258.0,28.1,7.5,39.0,0.51,0.0,0.0,73
2024-07-22 10:00:00,24.6,16.8,257.0,28.2,8.3,37.0,0.53,0.0,0.05,72
2024-07-22 11:00:00,25.5,17.5,257.0,28.0,9.2,35.0,0.55,0.0,0.3,72
2024-07-22 12:00:00,15.6,10.6,257.0,29.7,9.7,34.0,0.46,0.0,0.9,72
2024-07-22 13:00:00,17.9,11.9,256.0,27.7,10.3,50.0,0.48,0.0,2.0,70
2024-07-22 14:00:00,21.9,14.7,253.0,24.8,10.9,72.0,0.5,0.0,3.3,69
2024-07-22 15:00:00,25.9,17.4,247.0,22.2,11.0,88.0,0.51,0.0,4.2,67
2024-07-22 16:00:00,27.3,18.4,233.0,20.0,9.7,92.0,0.56,0.0,3.25,66
2024-07-22 17:00:00,26.1,17.6,215.0,18.1,7.8,90.0,0.63,0.0,2.3,66
2024-07-22 18:00:00,24.4,16.4,203.0,17.2,6.5,87.0,0.6,0.0,1.85,65
2024-07-22 19:00:00,24.9,16.6,200.0,17.4,6.4,85.0,0.55,0.0,1.7,65
2024-07-22 20:00:00,26.8,17.9,203.0,18.7,6.9,82.0,0.51,0.0,1.45,64
2024-07-22 21:00:00,25.7,16.9,213.0,21.7,7.3,76.0,0.47,0.0,0.9,64
2024-07-22 22:00:00,26.7,17.4,239.0,28.3,7.2,65.0,0.42,0.0,0.65,63
2024-07-22 23:00:00,28.5,18.4,272.0,36.7,7.0,51.0,0.39,0.0,0.2,63
2024-07-23 00:00:00,21.5,14.4,259.0,32.0,4.8,45.0,0.31,0.0,0.0,63
2024-07-23 01:00:00,24.3,16.0,261.0,34.5,5.1,40.0,0.29,0.0,0.0,62
2024-07-23 02:00:00,26.7,17.5,262.0,37.9,5.6,34.0,0.3,0.0,0.0,61
2024-07-23 03:00:00,24.2,15.9,258.0,39.1,5.9,31.0,0.31,0.0,0.0,60
2024-07-23 04:00:00,21.4,14.1,242.0,35.9,5.8,33.0,0.31,0.0,0.0,60
2024-07-23 05:00:00,18.6,12.4,220.0,30.5,5.6,38.0,0.31,0.0,0.0,59
2024-07-23 06:00:00,18.0,12.0,204.0,27.2,5.5,41.0,0.31,0.0,0.0,59
2024-07-23 07:00:00,18.3,12.3,201.0,28.6,5.6,38.0,0.27,0.0,0.0,58
2024-07-23 08:00:00,19.1,13.0,205.0,32.1,5.8,33.0,0.28,0.0,0.0,58
2024-07-23 09:00:00,17.9,12.3,209.0,33.9,6.2,31.0,0.32,0.0,0.0,58
2024-07-23 10:00:00,15.6,10.8,212.0,32.4,7.2,32.0,0.34,0.0,0.0,57
2024-07-23 11:00:00,14.6,10.1,216.0,29.3,8.5,36.0,0.34,0.0,0.15,57
2024-07-23 12:00:00,13.2,9.2,204.0,27.1,10.0,41.0,0.24,0.0,0.75,56
2024-07-23 13:00:00,13.7,9.5,207.0,27.7,10.4,46.0,0.26,0.0,0.7,56
2024-07-23 14:00:00,16.6,11.5,211.0,28.4,10.8,53.0,0.28,0.0,1.45,56
2024-07-23 15:00:00,14.0,9.7,214.0,27.6,10.9,64.0,0.26,0.0,2.35,55
2024-07-23 16:00:00,13.6,9.4,214.0,24.1,10.2,81.0,0.26,0.0,3.3,55
2024-07-23 17:00:00,14.1,9.7,212.0,19.2,9.1,101.0,0.26,0.0,5.0,54
2024-07-23 18:00:00,15.1,10.4,212.0,15.0,8.0,119.0,0.26,0.0,5.05,53
2024-07-23 19:00:00,13.9,9.7,209.0,11.0,6.8,135.0,0.27,0.0,3.85,53
2024-07-23 20:00:00,14.1,9.8,208.0,7.7,5.6,147.0,0.27,0.0,2.95,52
2024-07-23 21:00:00,14.1,9.8,222.0,9.1,4.8,150.0,0.27,0.0,1.85,51
2024-07-23 22:00:00,14.5,10.1,255.0,16.6,4.6,137.0,0.25,0.0,0.75,51
2024-07-23 23:00:00,15.1,10.5,303.0,28.7,4.9,115.0,0.26,0.0,0.2,50
2024-07-24 00:00:00,36.3,25.3,351.0,53.0,11.6,77.0,0.31,0.0,0.0,49
2024-07-24 01:00:00,48.4,33.8,400.0,67.7,12.5,61.0,0.33,0.0,0.0,50
