time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,daylight_duration,weather_code
2024-07-18,30.796,21.346,32.21074,24.614471,13.9,13.9,0.0,12.864649,26.28,317.4401,53008.14,63
2024-07-19,28.846,17.896,29.119244,16.94719,0.0,0.0,0.0,15.629972,28.08,335.2918,52913.92,3
2024-07-20,28.746,17.696,29.088963,18.528305,2.1,2.1,0.0,17.610588,33.839996,220.5507,52817.07,61
2024-07-21,31.346,19.646,34.577946,21.644901,0.1,0.1,0.0,21.611998,37.8,223.61969,52717.74,51
2024-07-22,28.346,21.046,31.755459,23.942463,1.3,1.3,0.0,20.65848,36.36,186.79889,52616.04,61
2024-07-23,29.546,20.996,33.403824,24.323742,6.4999995,6.4999995,0.0,11.988594,24.48,117.57011,52512.1,61
2024-07-24,29.446,21.846,32.39465,25.581055,0.6,0.6,0.0,14.917212,28.44,101.58058,52406.04,51
2024-07-25,30.646,20.596,31.935318,23.1988,8.2,8.2,0.0,16.299694,29.16,262.53952,52298.0,65
2024-07-26,29.346,18.096,28.993206,15.982542,0.0,0.0,0.0,21.129885,37.44,339.90744,52188.07,3
2024-07-27,29.946,17.596,30.026806,17.632877,0.0,0.0,0.0,14.973577,25.56,17.081816,52076.39,3
2024-07-28,31.396,18.046,31.873985,18.54542,0.0,0.0,0.0,23.068108,39.96,109.98324,51963.07,3
2024-07-29,29.446,21.496,31.843758,24.38018,3.9999998,3.9999998,0.0,17.873556,33.48,163.31932,51848.22,63
2024-07-30,31.995998,21.296,33.553757,24.894936,0.0,0.0,0.0,28.766228,50.399998,182.83,51731.96,3
2024-07-31,31.946,23.146,34.57394,25.822853,9.8,9.8,0.0,20.774214,38.88,192.58176,51614.22,63
2024-08-01,34.796,20.446,38.209606,23.396528,0.2,0.2,0.0,16.87398,32.039997,239.9185,51494.03,51
2024-08-02,32.946,23.596,36.655888,27.434471,9.900001,9.900001,0.0,21.605999,43.56,177.8578,51371.38,63
2024-08-03,32.996,23.446,37.158485,27.249062,11.700001,11.700001,0.0,19.48661,39.239998,225.07303,51246.38,63
2024-08-04,28.196,23.046,31.443768,26.491795,15.200001,15.200001,0.0,14.345898,29.88,225.18582,51119.21,65
2024-08-05,31.896,20.296,35.712727,22.26942,0.0,0.0,0.0,19.809813,37.079998,227.69144,50990.0,3
2024-08-06,32.496,22.696,37.75593,26.117311,26.699997,26.699997,0.0,17.87718,33.839996,235.5492,50858.9,65
2024-08-07,23.846,19.696,27.285795,19.191055,21.400003,21.400003,0.0,21.166653,37.44,56.092876,50726.02,63
2024-08-08,23.346,18.096,23.9454,18.968641,17.500002,17.500002,0.0,24.251284,41.399998,73.18228,50591.52,63
2024-08-09,28.446,20.496,28.67514,21.840542,24.800001,24.800001,0.0,44.25072,76.32,157.07083,50455.54,63
2024-08-10,29.446,21.696,30.842503,23.74185,1.5,1.5,0.0,21.629978,38.519997,263.9436,50318.18,53
2024-08-11,27.446,18.996,28.65226,19.518675,0.0,0.0,0.0,19.70815,33.48,291.2642,50179.58,3
2024-08-12,26.296,16.346,25.030485,17.108639,0.0,0.0,0.0,20.364674,37.079998,271.46085,50039.86,3
2024-08-13,26.996,16.396,26.674622,15.768749,0.0,0.0,0.0,14.689588,28.8,320.091,49899.15,3
2024-08-14,28.446,17.546,28.335373,18.385092,0.0,0.0,0.0,15.84409,28.8,353.67978,49757.56,3
2024-08-15,30.246,17.146,31.280464,18.524046,0.1,0.1,0.0,11.592894,20.880001,328.9767,49615.22,51
2024-08-16,30.346,18.346,33.527607,19.798136,0.0,0.0,0.0,18.391737,32.399998,317.89862,49472.23,3
2024-08-17,26.396,20.746,27.675928,23.751762,0.4,0.4,0.0,24.33664,42.48,140.96927,49328.71,51
2024-08-18,25.646,21.496,26.702602,23.087456,23.0,23.0,0.0,25.12016,43.199997,150.45358,49184.76,63
2024-08-19,28.396,20.246,32.264954,22.393353,38.200005,38.200005,0.0,18.374111,33.48,235.91402,49040.49,65
2024-08-20,22.796,16.796,24.559517,14.815176,0.3,0.3,0.0,22.682856,38.519997,322.27,48895.82,51
2024-08-21,22.646,12.896,20.299587,11.42027,0.0,0.0,0.0,20.945072,34.92,303.1257,48749.7,1
2024-08-22,24.546,12.496,22.595129,11.562083,0.0,0.0,0.0,19.174856,34.92,293.62503,48602.06,3
2024-08-23,27.396,13.296,27.070934,13.312988,0.0,0.0,0.0,13.281023,27.72,295.55524,48453.04,1
2024-08-24,29.846,14.746,30.83057,15.050383,0.0,0.0,0.0,14.799459,26.64,261.06726,48302.74,3
2024-08-25,30.096,16.296,31.638138,17.005718,0.2,0.2,0.0,17.298738,30.239998,227.18964,48151.28,51
2024-08-26,29.846,18.096,32.63491,19.04043,0.90000004,0.90000004,0.0,22.7057,38.519997,207.59718,47998.79,53
2024-08-27,29.796,17.696,32.689667,19.423992,0.0,0.0,0.0,20.192118,35.28,114.30461,47845.37,1
2024-08-28,34.096,21.446,36.865036,22.703262,0.0,0.0,0.0,15.94601,29.519999,248.63962,47691.14,3
2024-08-29,30.196,20.096,32.120884,20.408533,4.2,4.2,0.0,19.107151,32.039997,59.100166,47536.2,61
2024-08-30,23.846,18.196,23.303705,18.445267,4.2999997,4.2999997,0.0,18.075441,34.2,110.854546,47380.66,61
2024-08-31,25.696,17.696,26.944641,19.128963,0.9,0.9,0.0,17.727943,32.399998,141.90808,47224.64,51
