time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone
2024-11-16 00:00:00,5.9,5.8,408.0,23.0,54.0
2024-11-16 01:00:00,5.6,5.6,364.0,21.5,54.0
2024-11-16 02:00:00,6.0,6.0,282.0,19.3,55.0
2024-11-16 03:00:00,6.2,6.2,219.0,16.9,57.0
2024-11-16 04:00:00,6.1,6.0,196.0,14.1,61.0
2024-11-16 05:00:00,5.6,5.5,191.0,11.1,66.0
2024-11-16 06:00:00,5.2,5.1,189.0,9.0,69.0
2024-11-16 07:00:00,4.9,4.8,183.0,8.1,69.0
2024-11-16 08:00:00,4.8,4.7,179.0,8.2,67.0
2024-11-16 09:00:00,5.0,4.8,185.0,9.8,64.0
2024-11-16 10:00:00,5.2,4.9,208.0,14.4,58.0
2024-11-16 11:00:00,5.7,5.5,239.0,20.6,50.0
2024-11-16 12:00:00,2.2,2.2,261.0,19.9,52.0
2024-11-16 13:00:00,3.1,3.0,264.0,17.4,53.0
2024-11-16 14:00:00,3.4,3.3,258.0,14.0,55.0
2024-11-16 15:00:00,2.9,2.9,249.0,11.2,58.0
2024-11-16 16:00:00,3.1,3.1,237.0,9.4,63.0
2024-11-16 17:00:00,3.2,3.2,223.0,8.2,68.0
2024-11-16 18:00:00,3.2,3.2,216.0,8.0,72.0
2024-11-16 19:00:00,3.3,3.3,220.0,9.3,73.0
2024-11-16 20:00:00,3.4,3.4,231.0,11.5,72.0
2024-11-16 21:00:00,4.1,4.0,241.0,13.8,70.0
2024-11-16 22:00:00,4.7,4.7,250.0,16.1,67.0
2024-11-16 23:00:00,4.6,4.6,257.0,18.4,62.0
2024-11-17 00:00:00,4.5,4.5,259.0,19.3,59.0
2024-11-17 01:00:00,3.5,3.5,250.0,18.7,59.0
2024-11-17 02:00:00,3.1,3.1,236.0,17.9,60.0
2024-11-17 03:00:00,3.1,3.0,223.0,16.6,61.0
2024-11-17 04:00:00,3.0,2.9,214.0,14.5,62.0
2024-11-17 05:00:00,2.8,2.7,207.0,12.1,63.0
2024-11-17 06:00:00,2.6,2.5,202.0,10.3,64.0
2024-11-17 07:00:00,2.5,2.5,196.0,9.2,64.0
2024-11-17 08:00:00,2.5,2.5,192.0,8.8,63.0
2024-11-17 09:00:00,2.6,2.6,201.0,10.5,60.0
2024-11-17 10:00:00,2.9,2.9,233.0,16.4,53.0
2024-11-17 11:00:00,3.8,3.7,277.0,24.5,45.0
2024-11-17 12:00:00,3.5,3.5,312.0,26.4,43.0
